slug,title,url,date,modified,cities_count,group
24h-emergency-electrician-abha,شركة كهربائي طوارئ 24 ساعة بأبها,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-abha/,2026-09-05,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-dammam,شركة كهربائي طوارئ 24 ساعة بالدمام,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-dammam/,2026-09-04,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-jeddah,شركة كهربائي طوارئ 24 ساعة بجدة,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-jeddah/,2026-09-03,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-khobar,شركة كهربائي طوارئ 24 ساعة بالخبر,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-khobar/,2026-09-05,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-mecca,شركة كهربائي طوارئ 24 ساعة بمكة المكرمة,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-mecca/,2026-09-04,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-medina,شركة كهربائي طوارئ 24 ساعة بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-medina/,2026-09-04,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-riyadh,شركة كهربائي طوارئ 24 ساعة بالرياض,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-riyadh/,2026-09-02,2026-09-09,1,extra-core-city-service
24h-emergency-electrician-taif,شركة كهربائي طوارئ 24 ساعة بالطائف,https://www.rukn-eltatawer.com/sa/24h-emergency-electrician-taif/,2026-09-05,2026-09-09,1,extra-core-city-service
ac-cleaning-washing-abha,شركة غسيل وتنظيف مكيفات بأبها,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-abha/,2026-09-05,2026-09-10,1,extra-core-city-service
ac-cleaning-washing-dammam,شركة غسيل وتنظيف مكيفات بالدمام,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-dammam/,2026-09-04,2026-09-11,1,extra-core-city-service
ac-cleaning-washing-jeddah,شركة غسيل وتنظيف مكيفات بجدة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-jeddah/,2026-09-03,2026-09-11,1,extra-core-city-service
ac-cleaning-washing-khobar,شركة غسيل وتنظيف مكيفات بالخبر,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-khobar/,2026-09-04,2026-09-11,1,extra-core-city-service
ac-cleaning-washing-mecca,شركة غسيل وتنظيف مكيفات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-mecca/,2026-09-03,2026-09-09,1,extra-core-city-service
ac-cleaning-washing-medina,شركة غسيل وتنظيف مكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-medina/,2026-09-03,2026-09-11,1,extra-core-city-service
ac-cleaning-washing-riyadh,شركة غسيل وتنظيف مكيفات بالرياض,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-riyadh/,2026-09-02,2026-09-11,1,extra-core-city-service
ac-cleaning-washing-taif,شركة غسيل وتنظيف مكيفات بالطائف,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-taif/,2026-09-05,2026-09-09,1,extra-core-city-service
ac-duct-maintenance-abha,شركة صيانة دكتات التكييف بأبها,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-abha/,2026-09-05,2026-09-10,1,extra-core-city-service
ac-duct-maintenance-dammam,شركة صيانة دكتات التكييف بالدمام,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-dammam/,2026-09-04,2026-09-11,1,extra-core-city-service
ac-duct-maintenance-jeddah,شركة صيانة دكتات التكييف بجدة,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-jeddah/,2026-09-03,2026-09-11,1,extra-core-city-service
ac-duct-maintenance-khobar,شركة صيانة دكتات التكييف بالخبر,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-khobar/,2026-09-04,2026-09-11,1,extra-core-city-service
ac-duct-maintenance-mecca,شركة صيانة دكتات التكييف بمكة المكرمة,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-mecca/,2026-09-03,2026-09-09,1,extra-core-city-service
ac-duct-maintenance-medina,شركة صيانة دكتات التكييف بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-medina/,2026-09-03,2026-09-11,1,extra-core-city-service
ac-duct-maintenance-riyadh,شركة صيانة دكتات التكييف بالرياض,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-riyadh/,2026-09-02,2026-09-11,1,extra-core-city-service
ac-duct-maintenance-taif,شركة صيانة دكتات التكييف بالطائف,https://www.rukn-eltatawer.com/sa/ac-duct-maintenance-taif/,2026-09-05,2026-09-09,1,extra-core-city-service
