id,severity,area,url,issue
T01,critical,NAP,https://www.rukn-eltatawer.com/sa/,واتساب الهيدر/الفوتر/الزر العائم رقم إماراتي +971586634710
T02,critical,NAP,site option whatsapp_number,الخيار العام whatsapp_number ما زال +971586634710 رغم وجود kayan_country_sa_whatsapp الصحيح
T03,critical,NAP,window.RuknCS,call_show=false وcall_number فارغ — زر الاتصال مخفي
T04,critical,NAP,https://www.rukn-eltatawer.com/sa/contact-us/,أزرار وهمية tel:+966000000000 وwa.me/966000000000
T05,critical,NAP,https://www.rukn-eltatawer.com/sa/contact-us/,href مكتوب كماركداون داخل HTML: [https://wa.me/966000000000](...) فالرابط معطوب
T06,critical,clone-UAE,https://www.rukn-eltatawer.com/sa/category/water-leak-detection/,العنوان والوصف: كشف تسربات في الإمارات مع قائمة مدن دبي وأبوظبي والشارقة...
T07,critical,clone-UAE,https://www.rukn-eltatawer.com/sa/category/sewer-drainage/,تسليك مجاري في الإمارات 🇦🇪 + دولة الإمارات العربية المتحدة
T08,critical,clone-UAE,https://www.rukn-eltatawer.com/sa/category/moving-storing/,نقل أثاث وتخزين في الإمارات وواتساب 971 داخل الوصف
T09,critical,clone-UAE,https://www.rukn-eltatawer.com/sa/category/leak-detection-and-insulation/,كشف تسربات وعزل أسطح في الإمارات
T10,critical,clone-UAE,https://www.rukn-eltatawer.com/sa/privacy-policy/,مقدمة الصفحة: ركن التطور للخدمات المنزلية في الإمارات
T11,critical,template,https://www.rukn-eltatawer.com/sa/services/,أرشيف فارغ وH1 إنجليزي services وعنوان Archive
T12,critical,template,https://www.rukn-eltatawer.com/sa/pricing/,أرشيف فارغ وH1 إنجليزي pricing رغم وعود أدلة الأسعار
T13,critical,i18n,https://www.rukn-eltatawer.com/sa/en/,نسخة إنجليزية عربية بالكامل html lang=ar
T14,high,homepage,https://www.rukn-eltatawer.com/sa/,عدادات معكوسة: الواجهة 18 خدمة/12 مدينة والإعداد 12 خدمة/18 مدينة
T15,high,homepage,https://www.rukn-eltatawer.com/sa/en/,عدادات مختلفة مرة ثالثة: 17 خدمة / 11 مدينة
T16,high,homepage,https://www.rukn-eltatawer.com/sa/,بدون JS العدادات تظهر 0 (data-count على قيمة صفر)
T17,high,homepage,https://www.rukn-eltatawer.com/sa/,تناقض الخبرة 15 عاماً مقابل إحصاء 10+ سنوات
T18,high,homepage,https://www.rukn-eltatawer.com/sa/,قسم الشركاء بدون شعارات — نص رمادي وأيقونة صندوق وتكرار Weber
T19,high,homepage,https://www.rukn-eltatawer.com/sa/,CSS خريطة المدن ما زال .uae-svg (خريطة الإمارات)
T20,high,homepage,https://www.rukn-eltatawer.com/sa/,18 مدينة تُعرض «خدماتنا متوفرة» لكل الخدمات بينما 10 مدن بلا كتالوج
T21,high,nav,menu main-menu 2836,روابط #services #areas #projects #blog #why #faq بدون IDs في HTML
T22,high,nav,Polylang nav_menus,قائمة العربية مربوطة بـ 2372 بينما المعروض 2836
T23,high,nav,footer أهم خدماتنا,الفوتر يرسل لتصنيفات الإمارات (water-leak-detection وغيرها)
T24,high,schema,JSON-LD homepage,ثلاث كتل متعارضة وتقييمات 4.9/6481 مقابل 5841 عميل مقابل 16948 في المقال
T25,high,schema,https://www.rukn-eltatawer.com/sa/sa/,مسار مكرر /sa/sa/ مفهرس في CollectionPage ويفتح 200
T26,high,schema,article Service,address/areaServed فارغة وpriceRange دولار $
T27,high,schema,article CreativeWorkSeries,تقييم وهمي 5 نجوم و16948 مراجعة
T28,high,media,article template,صورة يوتيوب vi/الفيديو/0.jpg وقناة @rukn-eltatawer.com1
T29,high,social,twitter.com/RuknEltatwer,حساب تويتر 404 وخطأ إملائي في الاسم
T30,high,social,facebook.com/melsaadgroup,فيسبوك مجموعة الأم لا صفحة السعودية
T31,high,template,https://www.rukn-eltatawer.com/sa/cities/,الأرشيف يعرض بطاقة الرياض فقط + excerpt مقطوع «البا...»
T32,high,template,city taxonomy slugs,سلاق مرمّز URL و/city/riyadh/ يعيد للرئيسية
T33,high,template,CPT,reviews/faqs/pricing/portfolio/before_after كلها صفر
T34,high,template,services CPT,12 خدمة بلا مدن وبلا service_categories ولا نقل أثاث
T35,medium,pages,https://www.rukn-eltatawer.com/sa/about/,تكرار «في السعودية في السعودية 2026» وH1 مزدوج
T36,medium,pages,https://www.rukn-eltatawer.com/sa/contact-us/,H1 مزدوج ولا نموذج تواصل HTML
T37,medium,pages,privacy/about/contact/faq/blog,عناوين Rank Math بإيموجي ♻ 🇸🇦
T38,medium,pages,https://www.rukn-eltatawer.com/sa/sitemap/,كلمات مكسورة: المضمون ة / الـ سريع ة
T39,medium,pages,https://www.rukn-eltatawer.com/sa/blog/,المدونة تسرد صفحات الخدمات كأنها تدوينات (cannibalization)
T40,medium,seo,category sitemap,"تصنيفات بقايا leak/insul/maint/clean/service/service-en بعناوين ♻ فقط"
T41,medium,seo,city archive title,title يحتوي &raquo; حرفياً: » المدن » الرياض
T42,medium,seo,hreflang,لا hreflang على الرئيسية العربية وsnippet يغطي 3 مقالات EN فقط
