cluster_size,sample_titles,urls,problem_categories,notes
68,شركة كشف تسربات المياه بأبها | شركة كشف تسربات المياه بالطائف | شركة كشف تسربات المياه بالخبر | شركة كشف تسربات المياه بالدمام | شركة كشف تسربات المياه بالمدينة المنورة | شركة كشف تسربات المياه بمكة المكرمة | شركة كشف تسربات المياه بجدة | كشف تسربات المياه في شرورة | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abha/ https://www.rukn-eltatawer.com/sa/water-leak-detection-taif/ https://www.rukn-eltatawer.com/sa/water-leak-detection-khobar/ https://www.rukn-eltatawer.com/sa/water-leak-detection-dammam/ https://www.rukn-eltatawer.com/sa/water-leak-detection-medina/ https://www.rukn-eltatawer.com/sa/water-leak-detection-mecca/ https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-sharurah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-umluj/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-mandaq/ https://www.rukn-eltatawer.com/sa/water-leak-detection-samtah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-an-nuayriyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-tanuma/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-namas/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-bukayriyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-ar-rass/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-makhwah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-baljurashi/ https://www.rukn-eltatawer.com/sa/water-leak-detection-tathlith/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-hinakiyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-mahd/ https://www.rukn-eltatawer.com/sa/water-leak-detection-alula/ https://www.rukn-eltatawer.com/sa/water-leak-detection-badr/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-jumum/ https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/ https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/ https://www.rukn-eltatawer.com/sa/water-leak-detection-duba/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-wajh/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-qurayyat/ https://www.rukn-eltatawer.com/sa/water-leak-detection-turaif/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
33,شركة تنظيف منازل بالرياض | شركة تنظيف فلل بالرياض | شركة تنظيف شقق بالرياض | شركة تركيب عشب صناعي بالرياض | شركة تركيب عشب صناعي بمكة المكرمة | شركة تركيب عشب صناعي بجدة | شركة تركيب عشب صناعي بالمدينة المنورة | شركة تركيب عشب صناعي بالخبر,https://www.rukn-eltatawer.com/sa/home-cleaning-riyadh/ https://www.rukn-eltatawer.com/sa/villa-cleaning-riyadh/ https://www.rukn-eltatawer.com/sa/apartment-cleaning-riyadh/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-riyadh/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-mecca/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-jeddah/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-medina/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-khobar/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-dammam/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-taif/ https://www.rukn-eltatawer.com/sa/wall-grass-riyadh/ https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-abha/ https://www.rukn-eltatawer.com/sa/wall-grass-jeddah/ https://www.rukn-eltatawer.com/sa/wall-grass-medina/ https://www.rukn-eltatawer.com/sa/wall-grass-mecca/ https://www.rukn-eltatawer.com/sa/wall-grass-khobar/ https://www.rukn-eltatawer.com/sa/wall-grass-dammam/ https://www.rukn-eltatawer.com/sa/wall-grass-abha/ https://www.rukn-eltatawer.com/sa/wall-grass-taif/ https://www.rukn-eltatawer.com/sa/mattress-cleaning-abha/ https://www.rukn-eltatawer.com/sa/school-nursery-cleaning-abha/ https://www.rukn-eltatawer.com/sa/kitchen-cleaning-abha/ https://www.rukn-eltatawer.com/sa/hospital-clinic-cleaning-abha/ https://www.rukn-eltatawer.com/sa/moquette-cleaning-abha/ https://www.rukn-eltatawer.com/sa/office-cleaning-abha/ https://www.rukn-eltatawer.com/sa/stone-facade-cleaning-abha/ https://www.rukn-eltatawer.com/sa/glass-facade-cleaning-abha/ https://www.rukn-eltatawer.com/sa/car-shipping-jeddah/ https://www.rukn-eltatawer.com/sa/duct-cleaning-abha/ https://www.rukn-eltatawer.com/sa/chimney-cleaning-mecca/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
24,فني جبس بورد بالطائف | شركة ديكورات جبس بورد بأبها | شركة تركيب جبس بورد بأبها | شركة ديكورات جبس بورد بالطائف | شركة تركيب جبس بورد بالطائف | فني جبس بورد بالخبر | فني جبس بورد بالدمام | شركة ديكورات جبس بورد بالخبر,https://www.rukn-eltatawer.com/sa/gypsum-tech-taif/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-abha/ https://www.rukn-eltatawer.com/sa/gypsum-board-abha/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-taif/ https://www.rukn-eltatawer.com/sa/gypsum-board-taif/ https://www.rukn-eltatawer.com/sa/gypsum-tech-khobar/ https://www.rukn-eltatawer.com/sa/gypsum-tech-dammam/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-khobar/ https://www.rukn-eltatawer.com/sa/gypsum-tech-abha/ https://www.rukn-eltatawer.com/sa/gypsum-board-khobar/ https://www.rukn-eltatawer.com/sa/gypsum-tech-medina/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-dammam/ https://www.rukn-eltatawer.com/sa/gypsum-board-dammam/ https://www.rukn-eltatawer.com/sa/gypsum-tech-mecca/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-medina/ https://www.rukn-eltatawer.com/sa/gypsum-board-medina/ https://www.rukn-eltatawer.com/sa/gypsum-tech-jeddah/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-mecca/ https://www.rukn-eltatawer.com/sa/gypsum-board-mecca/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-jeddah/ https://www.rukn-eltatawer.com/sa/gypsum-board-jeddah/ https://www.rukn-eltatawer.com/sa/gypsum-tech-riyadh/ https://www.rukn-eltatawer.com/sa/gypsum-board-decor-riyadh/ https://www.rukn-eltatawer.com/sa/gypsum-board-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
16,شركة تركيب شبكات ري حديثة بالدمام | شركة تركيب شبكات ري أوتوماتيكية بالدمام | شركة تركيب شبكات ري حديثة بالمدينة المنورة | شركة تركيب شبكات ري أوتوماتيكية بالمدينة المنورة | شركة تركيب شبكات ري حديثة بمكة المكرمة | شركة تركيب شبكات ري أوتوماتيكية بمكة المكرمة | شركة تركيب شبكات ري حديثة بأبها | شركة تركيب شبكات ري أوتوماتيكية بأبها,https://www.rukn-eltatawer.com/sa/modern-irrigation-dammam/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-dammam/ https://www.rukn-eltatawer.com/sa/modern-irrigation-medina/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-medina/ https://www.rukn-eltatawer.com/sa/modern-irrigation-mecca/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-mecca/ https://www.rukn-eltatawer.com/sa/modern-irrigation-abha/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-abha/ https://www.rukn-eltatawer.com/sa/modern-irrigation-taif/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-taif/ https://www.rukn-eltatawer.com/sa/modern-irrigation-jeddah/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-jeddah/ https://www.rukn-eltatawer.com/sa/modern-irrigation-khobar/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-khobar/ https://www.rukn-eltatawer.com/sa/modern-irrigation-riyadh/ https://www.rukn-eltatawer.com/sa/automatic-irrigation-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
16,شركة سباك منازل بأبها | سباك منازل بأبها | سباك منازل بالطائف | شركة سباك منازل بالطائف | سباك منازل بالخبر | شركة سباك منازل بالخبر | سباك منازل بالدمام | شركة سباك منازل بالدمام,https://www.rukn-eltatawer.com/sa/home-plumber-elec-abha/ https://www.rukn-eltatawer.com/sa/home-plumber-abha/ https://www.rukn-eltatawer.com/sa/home-plumber-taif/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-taif/ https://www.rukn-eltatawer.com/sa/home-plumber-khobar/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-khobar/ https://www.rukn-eltatawer.com/sa/home-plumber-dammam/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-dammam/ https://www.rukn-eltatawer.com/sa/home-plumber-medina/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-medina/ https://www.rukn-eltatawer.com/sa/home-plumber-mecca/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-mecca/ https://www.rukn-eltatawer.com/sa/home-plumber-jeddah/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-jeddah/ https://www.rukn-eltatawer.com/sa/home-plumber-riyadh/ https://www.rukn-eltatawer.com/sa/home-plumber-elec-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
16,كهربائي منازل بأبها | كهربائي منازل بالطائف | شركة كهربائي منازل بأبها | شركة كهربائي منازل بالطائف | كهربائي منازل بالخبر | كهربائي منازل بالدمام | شركة كهربائي منازل بالخبر | كهربائي منازل بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/home-electrician-abha/ https://www.rukn-eltatawer.com/sa/home-electrician-taif/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-abha/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-taif/ https://www.rukn-eltatawer.com/sa/home-electrician-khobar/ https://www.rukn-eltatawer.com/sa/home-electrician-dammam/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-khobar/ https://www.rukn-eltatawer.com/sa/home-electrician-medina/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-dammam/ https://www.rukn-eltatawer.com/sa/home-electrician-mecca/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-medina/ https://www.rukn-eltatawer.com/sa/home-electrician-jeddah/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-mecca/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-jeddah/ https://www.rukn-eltatawer.com/sa/home-electrician-riyadh/ https://www.rukn-eltatawer.com/sa/home-electrician-elec-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
16,شركة صيانة لوحات كهرباء بأبها | شركة صيانة كهرباء بأبها | شركة صيانة لوحات كهرباء بالطائف | شركة صيانة كهرباء بالطائف | شركة صيانة لوحات كهرباء بالخبر | شركة صيانة كهرباء بالخبر | شركة صيانة لوحات كهرباء بالدمام | شركة صيانة كهرباء بالدمام,https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-abha/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-abha/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-taif/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-taif/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-khobar/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-khobar/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-dammam/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-dammam/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-medina/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-medina/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-mecca/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-mecca/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-jeddah/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-jeddah/ https://www.rukn-eltatawer.com/sa/electric-panel-maintenance-riyadh/ https://www.rukn-eltatawer.com/sa/electrical-maintenance-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
15,شركة عزل ودهان أسطح بالمدينة المنورة | شركة عزل ودهان أسطح بالدمام | شركة عزل ودهان أسطح بمكة المكرمة | شركة عزل ودهان أسطح بجدة | شركة عزل ودهان أسطح بأبها | شركة عزل ودهان أسطح بالطائف | شركة عزل ودهان أسطح بالخبر | شركة عزل ودهان أسطح بالرياض,https://www.rukn-eltatawer.com/sa/roof-insulation-painting-medina/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-dammam/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-mecca/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-jeddah/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-abha/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-taif/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-khobar/ https://www.rukn-eltatawer.com/sa/roof-insulation-painting-riyadh/ https://www.rukn-eltatawer.com/sa/roof-insulation-abha/ https://www.rukn-eltatawer.com/sa/roof-insulation-taif/ https://www.rukn-eltatawer.com/sa/roof-insulation-khobar/ https://www.rukn-eltatawer.com/sa/roof-insulation-dammam/ https://www.rukn-eltatawer.com/sa/roof-insulation-medina/ https://www.rukn-eltatawer.com/sa/roof-insulation-mecca/ https://www.rukn-eltatawer.com/sa/roof-insulation-jeddah/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
9,شركة تنظيف كنب بأبها | شركة تنظيف كنب بالطائف | شركة تنظيف كنب بالخبر | شركة تنظيف كنب بالدمام | شركة تنظيف كنب بالمدينة المنورة | شركة تنظيف كنب بمكة المكرمة | شركة تنظيف كنب بجدة | شركة تنظيف كنب بالرياض,https://www.rukn-eltatawer.com/sa/sofa-cleaning-abha/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-taif/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-khobar/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-dammam/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-medina/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-mecca/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-jeddah/ https://www.rukn-eltatawer.com/sa/sofa-cleaning-riyadh/ https://www.rukn-eltatawer.com/sa/sharikat-tanzif-kanab-bilbukhar-bilriyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
9,شركة تنظيف فلل بأبها | شركة تنظيف فلل بالطائف | شركة تنظيف فلل بالخبر | شركة تنظيف فلل بالدمام | شركة تنظيف فلل بالمدينة المنورة | شركة تنظيف فلل بمكة المكرمة | شركة تنظيف فلل بجدة | تنظيف فلل فاخرة بالرياض,https://www.rukn-eltatawer.com/sa/villa-cleaning-abha/ https://www.rukn-eltatawer.com/sa/villa-cleaning-taif/ https://www.rukn-eltatawer.com/sa/villa-cleaning-khobar/ https://www.rukn-eltatawer.com/sa/villa-cleaning-dammam/ https://www.rukn-eltatawer.com/sa/villa-cleaning-medina/ https://www.rukn-eltatawer.com/sa/villa-cleaning-mecca/ https://www.rukn-eltatawer.com/sa/villa-cleaning-jeddah/ https://www.rukn-eltatawer.com/sa/tanzif-filla-fakhira-bilriyadh/ https://www.rukn-eltatawer.com/sa/sharikat-tanzif-filla-bilriyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
9,شركة تنظيف سجاد بأبها | شركة تنظيف سجاد بالطائف | شركة تنظيف سجاد بالخبر | شركة تنظيف سجاد بالدمام | شركة تنظيف سجاد بالمدينة المنورة | شركة تنظيف سجاد بمكة المكرمة | شركة تنظيف سجاد بجدة | شركة تنظيف سجاد بالرياض,https://www.rukn-eltatawer.com/sa/carpet-cleaning-abha/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-taif/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-khobar/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-dammam/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-medina/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-mecca/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-jeddah/ https://www.rukn-eltatawer.com/sa/carpet-cleaning-riyadh/ https://www.rukn-eltatawer.com/sa/tanzif-sijjad-wamaukit-bilriyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
