title_a,url_a,words_a,title_b,url_b,words_b,cosine,simhash_hamming,problem_categories,notes
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,1.0,0,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ حفر الباطن) بعد توحيد اسم المدينة
كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,0.9992,2,duplicate_similar,نسخة مدينة شبه مطابقة (الخرج ↔ سكاكا) بعد توحيد اسم المدينة
كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,0.9984,1,duplicate_similar,نسخة مدينة شبه مطابقة (أبو عريش ↔ الخرج) بعد توحيد اسم المدينة
كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,0.9978,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبو عريش ↔ سكاكا) بعد توحيد اسم المدينة
كشف تسربات المياه في جنوب جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-jeddah/,1953,كشف تسربات المياه في شرق جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-jeddah/,1936,0.9978,0,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9976,0,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ الظهران) بعد توحيد اسم المدينة
كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9976,0,duplicate_similar,نسخة مدينة شبه مطابقة (حفر الباطن ↔ الظهران) بعد توحيد اسم المدينة
كشف تسربات المياه في جنوب جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-jeddah/,1953,كشف تسربات المياه في شمال جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-jeddah/,1948,0.9974,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كهربائي منازل بجدة,https://www.rukn-eltatawer.com/sa/home-electrician-jeddah/,1741,شركة كهربائي منازل بجدة,https://www.rukn-eltatawer.com/sa/home-electrician-elec-jeddah/,1725,0.9972,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,0.9972,2,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ عرعر) بعد توحيد اسم المدينة
كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,0.9971,2,duplicate_similar,نسخة مدينة شبه مطابقة (حفر الباطن ↔ عرعر) بعد توحيد اسم المدينة
كشف تسربات المياه في شرق الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-riyadh/,1978,كشف تسربات المياه في شمال الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-riyadh/,1975,0.997,0,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,0.9962,2,duplicate_similar,نسخة مدينة شبه مطابقة (عرعر ↔ سكاكا) بعد توحيد اسم المدينة
كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,0.9961,5,duplicate_similar,نسخة مدينة شبه مطابقة (أبو عريش ↔ عرعر) بعد توحيد اسم المدينة
سباك منازل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-plumber-mecca/,1788,شركة سباك منازل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-plumber-elec-mecca/,1789,0.9955,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (مكة المكرمة) — صفحتان تتصارعان على نفس النية
