id,title,url,words,grade,category,featured,excerpt_ok,post_call,manual_cta,issues,needs
10406,صيانة التكييف — تبريد أقوى واستهلاك أقل,https://www.rukn-eltatawer.com/sa/syanh-altkyyf/,128,D,محور/دليل,True,False,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],مقتطف يدوي (excerpt) | توسيع المحتوى جذرياً (<300 كلمة)
10408,مكافحة الحشرات في المنازل — حماية فعالة وآمنة,https://www.rukn-eltatawer.com/sa/mkafhh-alhshrat/,144,D,محور/دليل,True,False,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],مقتطف يدوي (excerpt) | توسيع المحتوى جذرياً (<300 كلمة)
10405,عزل الأسطح — حماية من الرطوبة والحرارة,https://www.rukn-eltatawer.com/sa/azl-alasth/,147,D,عزل,True,False,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],مقتطف يدوي (excerpt) | توسيع المحتوى جذرياً (<300 كلمة)
10409,سباكة وصيانة عامة للمنازل — حلول سريعة ومعتمدة,https://www.rukn-eltatawer.com/sa/sbakh-wsyanh-aamh/,152,D,محور/دليل,True,False,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],مقتطف يدوي (excerpt) | توسيع المحتوى جذرياً (<300 كلمة)
10407,تنظيف وتعقيم المنازل — نظافة عميقة تدوم,https://www.rukn-eltatawer.com/sa/tnzyf-wtaqym/,158,D,تنظيف,True,False,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],مقتطف يدوي (excerpt) | توسيع المحتوى جذرياً (<300 كلمة)
10404,كشف تسربات المياه — دليل الخدمة من ركن التطور,https://www.rukn-eltatawer.com/sa/kshf-tsrbat-almyah/,176,D,كشف تسربات,True,True,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],توسيع المحتوى جذرياً (<300 كلمة)
10420,نصائح للعناية بالمنزل طوال العام,https://www.rukn-eltatawer.com/sa/nsayh-llanayh-balmnzl/,179,D,محور/دليل,True,True,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],توسيع المحتوى جذرياً (<300 كلمة)
10421,متى تحتاج لفحص تسربات المياه؟ العلامات التي لا تتجاهلها,https://www.rukn-eltatawer.com/sa/mta-thtaj-lfhs-altsrbat/,276,D,محور/دليل,True,True,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],توسيع المحتوى جذرياً (<300 كلمة)
10422,أهمية الصيانة الدورية للمنازل في السعودية,https://www.rukn-eltatawer.com/sa/ahmyh-alsyanh-aldwryh/,351,C,محور/دليل,True,True,0,True,أزرار اتصال/واتساب يدوية بدون shortcode [post_call],توسيع المحتوى (قصير جداً)
10280,شركة تنظيف شقق بالرياض,https://www.rukn-eltatawer.com/sa/apartment-cleaning-in-riyadh/,460,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
10282,شركة تنظيف كنب بالبخار بالرياض,https://www.rukn-eltatawer.com/sa/sharikat-tanzif-kanab-bilbukhar-bilriyadh/,467,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
10279,تنظيف فلل فاخرة بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-filla-fakhira-bilriyadh/,484,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
10278,شركة تنظيف فلل بالرياض,https://www.rukn-eltatawer.com/sa/sharikat-tanzif-filla-bilriyadh/,485,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
10281,تنظيف شامل للمنازل بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-shamil-lilmanazil-bilriyadh/,490,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
10283,تنظيف سجاد وموكيت بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-sijjad-wamaukit-bilriyadh/,491,C,تنظيف,False,True,0,False,,صورة بارزة | توسيع المحتوى (قصير جداً) | إضافة [post_call] مع تعبئة الميتا | تفعيل بلوكات الثيم (features/steps/services/prices) عبر shortcodes+meta
