id,title,url,words,grade,category,featured,excerpt_ok,issues,needs
10280,شركة تنظيف شقق بالرياض,https://www.rukn-eltatawer.com/sa/apartment-cleaning-in-riyadh/,460,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
10282,شركة تنظيف كنب بالبخار بالرياض,https://www.rukn-eltatawer.com/sa/sharikat-tanzif-kanab-bilbukhar-bilriyadh/,467,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
10279,تنظيف فلل فاخرة بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-filla-fakhira-bilriyadh/,484,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
10278,شركة تنظيف فلل بالرياض,https://www.rukn-eltatawer.com/sa/sharikat-tanzif-filla-bilriyadh/,485,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
10281,تنظيف شامل للمنازل بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-shamil-lilmanazil-bilriyadh/,490,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
10283,تنظيف سجاد وموكيت بالرياض,https://www.rukn-eltatawer.com/sa/tanzif-sijjad-wamaukit-bilriyadh/,491,C,تنظيف,False,True,,صورة بارزة | توسيع جوهري | إضافة [post_call]
9278,كشف تسربات المياه في وسط الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-riyadh-center/,519,C,كشف تسربات,False,False,,صورة بارزة | مقتطف يدوي | توسيع جوهري | صور داخل المحتوى
9338,كشف تسربات المياه في المهد | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-mahd/,557,C,كشف تسربات,False,False,,صورة بارزة | مقتطف يدوي | توسيع جوهري | صور داخل المحتوى
9336,كشف تسربات المياه في بدر | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-badr/,560,C,كشف تسربات,False,False,,صورة بارزة | مقتطف يدوي | توسيع جوهري | صور داخل المحتوى
9347,كشف تسربات المياه في تنومة | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-tanuma/,562,C,كشف تسربات,False,False,,صورة بارزة | مقتطف يدوي | توسيع جوهري | صور داخل المحتوى
